stop_lat,stop_code,stop_serial_number,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.466839,552,3454,-158.214332,552,http://hea.thebus.org/nextbus.asp?s=552,,,FARRINGTON HWY + NALU NANI CT,0,
21.291756,4010,3125,-157.809853,4010,http://hea.thebus.org/nextbus.asp?s=4010,,,SAINT LOUIS DR + OPP KAMINAKA DR,0,
21.425996,1439,453,-157.752632,1439,http://hea.thebus.org/nextbus.asp?s=1439,,,KANEOHE BAY DR + OPP HALIA ST,0,
21.281803,1199,200,-157.700766,1199,http://hea.thebus.org/nextbus.asp?s=1199,,,LUNALILO HOME RD + KAUMAKANI ST,0,
21.282634,1198,199,-157.700173,1198,http://hea.thebus.org/nextbus.asp?s=1198,,,LUNALILO HOME RD + OPP KAUMAKANI ST,0,
21.348846,3348,2506,-157.935929,3348,http://hea.thebus.org/nextbus.asp?s=3348,,,CENTER DR + MAIN ST,0,
21.35238,3349,2507,-157.933274,3349,http://hea.thebus.org/nextbus.asp?s=3349,,,RADFORD DR + CENTER DR,0,
21.284612,3342,2500,-157.820253,3342,http://hea.thebus.org/nextbus.asp?s=3342,,,DATE ST + OPP LAAU ST,0,
21.294834,1190,191,-157.690516,1190,http://hea.thebus.org/nextbus.asp?s=1190,,,LUNALILO HOME RD + 780,0,
21.291471,1193,194,-157.694088,1193,http://hea.thebus.org/nextbus.asp?s=1193,,,LUNALILO HOME RD + OPP AHUKINI ST,0,
21.292386,1192,193,-157.693079,1192,http://hea.thebus.org/nextbus.asp?s=1192,,,LUNALILO HOME RD + KOAMANO ST,0,
21.288045,1195,196,-157.696686,1195,http://hea.thebus.org/nextbus.asp?s=1195,,,LUNALILO HOME RD + WAILUA ST,0,
21.290394,1194,195,-157.695141,1194,http://hea.thebus.org/nextbus.asp?s=1194,,,LUNALILO HOME RD + KALANIPUU ST,0,
21.28395,1197,198,-157.699144,1197,http://hea.thebus.org/nextbus.asp?s=1197,,,LUNALILO HOME RD + OPP KALAKUA ST,0,
21.286821,1196,197,-157.697352,1196,http://hea.thebus.org/nextbus.asp?s=1196,,,LUNALILO HOME RD + OPP KAPAIA ST,0,
21.42451,1759,807,-157.807449,1759,http://hea.thebus.org/nextbus.asp?s=1759,,,HEEIA ST + OPP KALIMALOA ST,0,
21.425881,1758,806,-157.806642,1758,http://hea.thebus.org/nextbus.asp?s=1758,,,KAMEHAMEHA HWY + HEEIA ST,0,
21.428163,1757,805,-157.807726,1757,http://hea.thebus.org/nextbus.asp?s=1757,,,KAMEHAMEHA HWY + AHUI NANI PL,0,
21.430222,1756,804,-157.808196,1756,http://hea.thebus.org/nextbus.asp?s=1756,,,KAMEHAMEHA HWY + OPP IPUKA ST,0,
21.433131,1755,803,-157.809717,1755,http://hea.thebus.org/nextbus.asp?s=1755,,,KAMEHAMEHA HWY + OPP IMILOA ST,0,
21.442367,1754,802,-157.811524,1754,http://hea.thebus.org/nextbus.asp?s=1754,,,KAMEHAMEHA HWY + OPP HEEIA KEA BOAT HARBOR,0,
21.448088,1753,801,-157.814447,1753,http://hea.thebus.org/nextbus.asp?s=1753,,,KAMEHAMEHA HWY + 46-620,0,
21.450841,1752,800,-157.81489,1752,http://hea.thebus.org/nextbus.asp?s=1752,,,KAMEHAMEHA HWY + 47-018,0,
21.452672,1751,799,-157.815636,1751,http://hea.thebus.org/nextbus.asp?s=1751,,,KAMEHAMEHA HWY + 47-054,0,
21.452946,1750,798,-157.818886,1750,http://hea.thebus.org/nextbus.asp?s=1750,,,KAMEHAMEHA HWY + HUNALEPO ST,0,
21.318207,1177,176,-157.669951,1177,http://hea.thebus.org/nextbus.asp?s=1177,,,KALANIANAOLE HWY + OPP MAKAI PIER,0,
21.323843,1176,175,-157.67902,1176,http://hea.thebus.org/nextbus.asp?s=1176,,,KALANIANAOLE HWY + OPP 41-489,0,
21.32479,1175,174,-157.681113,1175,http://hea.thebus.org/nextbus.asp?s=1175,,,KALANIANAOLE HWY + OPP 41-525,0,
21.325382,1174,173,-157.682425,1174,http://hea.thebus.org/nextbus.asp?s=1174,,,KALANIANAOLE HWY + OPP KAIONA BEACH,0,
21.326653,1173,172,-157.685238,1173,http://hea.thebus.org/nextbus.asp?s=1173,,,KALANIANAOLE HWY + BELL ST,0,
21.327303,1172,171,-157.689336,1172,http://hea.thebus.org/nextbus.asp?s=1172,,,NALU ST + ALA KOA ST,0,
21.326711,1171,170,-157.689657,1171,http://hea.thebus.org/nextbus.asp?s=1171,,,NALU ST + BELL ST,0,
21.326741,1170,169,-157.691685,1170,http://hea.thebus.org/nextbus.asp?s=1170,,,NAKINI ST + NALU ST,0,
21.319969,4253,4376,-157.869637,4253,http://hea.thebus.org/nextbus.asp?s=4253,,,DILLINGHAM BL + ALAKAWA ST,0,
21.28234,4255,4378,-157.829536,4255,http://hea.thebus.org/nextbus.asp?s=4255,,,KUHIO AVE + OPP LAUNIU ST,0,
21.292095,1179,178,-157.666616,1179,http://hea.thebus.org/nextbus.asp?s=1179,,,KEALAHOU ST + MAKAAOA ST,0,
21.29099,1178,177,-157.66537,1178,http://hea.thebus.org/nextbus.asp?s=1178,,,KEALAHOU ST + KALANIANAOLE HWY,0,
21.318772,123,235,-157.863827,123,http://hea.thebus.org/nextbus.asp?s=123,,,LILIHA ST + N KING ST,0,
21.394377,644,3552,-158.159628,644,http://hea.thebus.org/nextbus.asp?s=644,,,FARRINGTON HWY + OPP PRINCESS KAHANU AVE,0,
21.390121,1284,295,-157.740338,1284,http://hea.thebus.org/nextbus.asp?s=1284,,,HAMAKUA DR + OPP AOLOA ST,0,
21.381069,1287,298,-157.741161,1287,http://hea.thebus.org/nextbus.asp?s=1287,,,KEOLU DR + KAELEPULU ELEMENTARY SCHOOL,0,
21.382328,1286,297,-157.740638,1286,http://hea.thebus.org/nextbus.asp?s=1286,,,KEOLU DR + AKIOHALA ST,0,
21.305636,1281,292,-157.86413,1281,http://hea.thebus.org/nextbus.asp?s=1281,,,ALOHA TOWER,0,
21.307569,1280,291,-157.862935,1280,http://hea.thebus.org/nextbus.asp?s=1280,,,BISHOP ST + QUEEN ST,0,
21.392147,1283,294,-157.740874,1283,http://hea.thebus.org/nextbus.asp?s=1283,,,HAHANI ST + HEKILI ST,0,
21.302165,1282,293,-157.863378,1282,http://hea.thebus.org/nextbus.asp?s=1282,,,ALA MOANA BL + OPP PUNCHBOWL ST,0,
