"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"San Bernardino Line","SBL-Sun-20190408","295500282-20190408","L.A. Union Station","367","1"
"San Bernardino Line","SBL-Fri-20190408","295500338-20190408","San Bernardino - Downtown","338","0"
"San Bernardino Line","SBL-Fri-20190408","295500339-20190408","L.A. Union Station","339","1"
"San Bernardino Line","SBL-Sun-20190408","295500747-20190408","L.A. Union Station","351","1"
"San Bernardino Line","SBL-Sun-20190408","295500760-20190408","L.A. Union Station","377","1"
"San Bernardino Line","SBL-Sun-20190408","295600262-20190408","San Bernardino - Downtown","354","0"
"San Bernardino Line","SBL-Sun-20190408","295600264-20190408","San Bernardino - Downtown","356","0"
"San Bernardino Line","SBL-Sun-20190408","295600268-20190408","San Bernardino - Downtown","362","0"
"San Bernardino Line","SBL-Sun-20190408","295600270-20190408","San Bernardino - Downtown","364","0"
"San Bernardino Line","SBL-Sun-20190408","295600272-20190408","San Bernardino - Downtown","366","0"
"San Bernardino Line","SBL-Sun-20190408","295600280-20190408","San Bernardino - Downtown","376","0"
"San Bernardino Line","SBL-Sun-20190408","295600302-20190408","San Bernardino - Downtown","368","0"
"Riverside Line","Riv-MTWTF-20190408","295700441-20190408","L.A. Union Station","401","1"
"Riverside Line","Riv-MTWTF-20190408","295700442-20190408","L.A. Union Station","403","1"
"Riverside Line","Riv-MTWTF-20190408","295700443-20190408","L.A. Union Station","405","1"
"Riverside Line","Riv-MTWTF-20190408","295700444-20190408","L.A. Union Station","407","1"
"Riverside Line","Riv-MTWTF-20190408","295700445-20190408","L.A. Union Station","409","1"
"Riverside Line","Riv-MTWTF-20190408","295700446-20190408","L.A. Union Station","411","1"
"Riverside Line","Riv-MTWTF-20190408","295800461-20190408","Riverside - Downtown","402","0"
"Riverside Line","Riv-MTWTF-20190408","295800462-20190408","Riverside - Downtown","404","0"
"Riverside Line","Riv-MTWTF-20190408","295800463-20190408","Riverside - Downtown","406","0"
"Riverside Line","Riv-MTWTF-20190408","295800464-20190408","Riverside - Downtown","408","0"
"Riverside Line","Riv-MTWTF-20190408","295800465-20190408","Riverside - Downtown","410","0"
"Riverside Line","Riv-MTWTF-20190408","295800466-20190408","Riverside - Downtown","412","0"
"91 Line","91PV-MTWTF-20190408","295900043-20190408","L.A. Union Station","701","1"
"91 Line","91PV-MTWTF-20190408","295900046-20190408","L.A. Union Station","703","1"
"91 Line","91PV-MTWTF-20190408","295900055-20190408","L.A. Union Station","705","1"
"91 Line","91PV-MTWTF-20190408","295900061-20190408","L.A. Union Station","707","1"
"91 Line","91PV-SaSu-20190408","295900751-20190408","L.A. Union Station","751","1"
"91 Line","91PV-SaSu-20190408","295900753-20190408","L.A. Union Station","753","1"
"91 Line","91PV-MTWTF-20190408","296000081-20190408","Riverside - Downtown","700","0"
"91 Line","91PV-MTWTF-20190408","296000083-20190408","Perris - South","702","0"
"91 Line","91PV-MTWTF-20190408","296000091-20190408","Perris - South","704","0"
"91 Line","91PV-MTWTF-20190408","296000097-20190408","Perris - South","706","0"
"91 Line","91PV-MTWTF-20190408","296000100-20190408","Riverside - Downtown","708","0"
"91 Line","91PV-SaSu-20190408","296000752-20190408","Riverside - Downtown","752","0"
"91 Line","91PV-SaSu-20190408","296000754-20190408","Riverside - Downtown","754","0"
"Orange County Line","OCL-MTWTF-20190408","296100041-20190408","L.A. Union Station","681","1"
"Orange County Line","OCL-MTWTF-20190408","296100042-20190408","L.A. Union Station","601","1"
"Orange County Line","OCL-MTWTF-20190408","296100044-20190408","L.A. Union Station","603","1"
"Orange County Line","OCL-MTWTF-20190408","296100045-20190408","L.A. Union Station","605","1"
"Orange County Line","OCL-MTWTF-20190408","296100047-20190408","L.A. Union Station","683","1"
"Orange County Line","OCL-MTWTF-20190408","296100048-20190408","L.A. Union Station","607","1"
"Orange County Line","OCL-MTWTF-20190408","296100049-20190408","L.A. Union Station","685","1"
"Orange County Line","OCL-MTWTF-20190408","296100051-20190408","L.A. Union Station","687","1"
"Orange County Line","OCL-MTWTF-20190408","296100057-20190408","L.A. Union Station","609","1"
"Orange County Line","OCL-MTWTF-20190408","296100059-20190408","L.A. Union Station","689","1"
"Orange County Line","OCL-MTWTF-20190408","296101041-20190408","Fullerton","641","1"
